FileName,AbEpiScore-1.0,AbEpiTarget-1.0
fold_9a9_seed14_model_1.cif,0.03276,0.385501
fold_9a9_seed19_model_4.cif,0.021226,0.324119
fold_9a9_seed20_model_2.cif,0.035708,0.399973
fold_9a9_seed18_model_0.cif,0.024151,0.334368
fold_9a9_seed11_model_0.cif,0.090842,0.453247
fold_9a9_seed17_model_2.cif,0.066049,0.47302
fold_9a9_seed20_model_0.cif,0.022973,0.34491
fold_9a9_seed13_model_0.cif,0.026347,0.318573
fold_9a9_seed20_model_3.cif,0.0301,0.385402
fold_9a9_seed12_model_2.cif,0.061241,0.412447
fold_9a9_seed16_model_1.cif,0.020507,0.301586
fold_9a9_seed14_model_3.cif,0.022009,0.374046
fold_9a9_seed13_model_1.cif,0.020415,0.302231
fold_9a9_seed18_model_3.cif,0.045991,0.373751
fold_9a9_seed19_model_0.cif,0.028434,0.378284
fold_9a9_seed15_model_3.cif,0.020184,0.277878
fold_9a9_seed13_model_2.cif,0.02506,0.327884
fold_9a9_seed18_model_4.cif,0.020928,0.294922
fold_9a9_seed12_model_3.cif,0.025366,0.388595
fold_9a9_seed13_model_4.cif,0.020881,0.328474
fold_9a9_seed20_model_4.cif,0.028435,0.345836
fold_9a9_seed11_model_2.cif,0.033713,0.387254
fold_9a9_seed17_model_1.cif,0.019825,0.247354
fold_9a9_seed11_model_1.cif,0.025253,0.34684
fold_9a9_seed11_model_3.cif,0.020628,0.2958
fold_9a9_seed12_model_0.cif,0.028041,0.333991
fold_9a9_seed11_model_4.cif,0.019785,0.28679
fold_9a9_seed16_model_0.cif,0.031697,0.388313
fold_9a9_seed14_model_0.cif,0.02534,0.348821
fold_9a9_seed19_model_2.cif,0.024285,0.290453
fold_9a9_seed15_model_0.cif,0.023987,0.370024
fold_9a9_seed19_model_1.cif,0.023084,0.322297
fold_9a9_seed13_model_3.cif,0.021487,0.298417
fold_9a9_seed18_model_1.cif,0.028829,0.352202
fold_9a9_seed14_model_2.cif,0.020065,0.344203
fold_9a9_seed16_model_2.cif,0.027047,0.340804
fold_9a9_seed20_model_1.cif,0.032082,0.373573
fold_9a9_seed12_model_4.cif,0.023959,0.349608
fold_9a9_seed15_model_1.cif,0.028761,0.374557
fold_9a9_seed16_model_3.cif,0.028269,0.396336
fold_9a9_seed17_model_3.cif,0.020278,0.31388
fold_9a9_seed14_model_4.cif,0.019551,0.305991
fold_9a9_seed12_model_1.cif,0.017549,0.307536
fold_9a9_seed17_model_4.cif,0.018917,0.251624
fold_9a9_seed18_model_2.cif,0.020603,0.298307
fold_9a9_seed16_model_4.cif,0.017713,0.26118
fold_9a9_seed15_model_4.cif,0.044363,0.377425
fold_9a9_seed15_model_2.cif,0.022326,0.325612
fold_9a9_seed19_model_3.cif,0.023876,0.357936
fold_9a9_seed17_model_0.cif,0.031215,0.387572
