FileName,AbEpiScore-1.0,AbEpiTarget-1.0
fold_22f5_ds_f_seed6_model_4.cif,0.021287,0.33972
fold_22f5_ds_f_seed3_model_3.cif,0.018992,0.270574
fold_22f5_ds_f_seed5_model_2.cif,0.049663,0.421523
fold_22f5_ds_f_seed1_model_4.cif,0.033424,0.387562
fold_22f5_ds_f_seed9_model_2.cif,0.030635,0.355988
fold_22f5_ds_f_seed7_model_1.cif,0.02001,0.292674
fold_22f5_ds_f_seed6_model_0.cif,0.028362,0.318689
fold_22f5_ds_f_seed2_model_4.cif,0.019047,0.312987
fold_22f5_ds_f_seed6_model_2.cif,0.022738,0.342028
fold_22f5_ds_f_seed10_model_4.cif,0.051336,0.398815
fold_22f5_ds_f_seed6_model_3.cif,0.021708,0.326912
fold_22f5_ds_f_seed4_model_2.cif,0.01971,0.318799
fold_22f5_ds_f_seed5_model_1.cif,0.095834,0.403184
fold_22f5_ds_f_seed9_model_3.cif,0.02033,0.281546
fold_22f5_ds_f_seed1_model_2.cif,0.024709,0.343381
fold_22f5_ds_f_seed3_model_2.cif,0.052564,0.410299
fold_22f5_ds_f_seed6_model_1.cif,0.021114,0.348839
fold_22f5_ds_f_seed5_model_3.cif,0.052589,0.386442
fold_22f5_ds_f_seed7_model_0.cif,0.060246,0.381738
fold_22f5_ds_f_seed2_model_2.cif,0.021281,0.312406
fold_22f5_ds_f_seed2_model_1.cif,0.031242,0.343226
fold_22f5_ds_f_seed1_model_1.cif,0.020437,0.33824
fold_22f5_ds_f_seed4_model_0.cif,0.025026,0.336109
fold_22f5_ds_f_seed8_model_1.cif,0.021333,0.357378
fold_22f5_ds_f_seed5_model_0.cif,0.059957,0.311802
fold_22f5_ds_f_seed4_model_3.cif,0.024893,0.315144
fold_22f5_ds_f_seed10_model_2.cif,0.022466,0.330103
fold_22f5_ds_f_seed2_model_3.cif,0.023338,0.305649
fold_22f5_ds_f_seed7_model_4.cif,0.031484,0.396525
fold_22f5_ds_f_seed9_model_1.cif,0.060149,0.40718
fold_22f5_ds_f_seed4_model_1.cif,0.024243,0.257252
fold_22f5_ds_f_seed3_model_0.cif,0.062459,0.399434
fold_22f5_ds_f_seed4_model_4.cif,0.052848,0.327423
fold_22f5_ds_f_seed3_model_1.cif,0.072451,0.413376
fold_22f5_ds_f_seed7_model_2.cif,0.021285,0.373245
fold_22f5_ds_f_seed8_model_2.cif,0.028836,0.323616
fold_22f5_ds_f_seed5_model_4.cif,0.023826,0.32347
fold_22f5_ds_f_seed10_model_1.cif,0.041434,0.403038
fold_22f5_ds_f_seed2_model_0.cif,0.053375,0.416737
fold_22f5_ds_f_seed1_model_0.cif,0.019894,0.324844
fold_22f5_ds_f_seed3_model_4.cif,0.040326,0.364023
fold_22f5_ds_f_seed8_model_0.cif,0.021814,0.288197
fold_22f5_ds_f_seed10_model_3.cif,0.033347,0.340164
fold_22f5_ds_f_seed9_model_0.cif,0.065033,0.436473
fold_22f5_ds_f_seed8_model_3.cif,0.067663,0.423646
fold_22f5_ds_f_seed1_model_3.cif,0.024784,0.305691
fold_22f5_ds_f_seed9_model_4.cif,0.026495,0.3106
fold_22f5_ds_f_seed10_model_0.cif,0.022124,0.319875
fold_22f5_ds_f_seed8_model_4.cif,0.039128,0.334334
fold_22f5_ds_f_seed7_model_3.cif,0.026705,0.283446
